author_pid,coauthor_pid,year
75/9436,d/AmolDeshpande,2016
75/9436,58/4127,2016
75/9436,180/5761,2016
75/9436,180/5761,2016
75/9436,h/BillHowe,2015
75/9436,d/AmolDeshpande,2015
75/9436,h/BillHowe,2015
75/9436,d/AmolDeshpande,2015
75/9436,58/4127,2015
75/9436,a/AmrElAbbadi,2015
75/9436,d/AmolDeshpande,2015
75/9436,d/AmolDeshpande,2015
75/9436,58/4127,2014
75/9436,d/AmolDeshpande,2014
75/9436,c/CarloCurino,2013
75/9436,a/AmrElAbbadi,2013
75/9436,a/AmrElAbbadi,2013
75/9436,a/AmrElAbbadi,2012
75/9436,o/BengChinOoi,2012
75/9436,a/AmrElAbbadi,2012
75/9436,a/AmrElAbbadi,2012
75/9436,58/4127,2012
75/9436,a/AmrElAbbadi,2012
75/9436,a/AmrElAbbadi,2011
75/9436,a/AmrElAbbadi,2011
127/6195,d/AmolDeshpande,2016
127/6195,d/AmolDeshpande,2016
127/6195,d/AmolDeshpande,2014
127/6195,d/AmolDeshpande,2014
127/6195,d/AmolDeshpande,2014
127/6195,d/AmolDeshpande,2013
116/1678,m/AnimeshMukherjee,2022
116/1678,m/AnimeshMukherjee,2021
116/1678,m/AnimeshMukherjee,2021
116/1678,m/AnimeshMukherjee,2016
04/7892,h/BillHowe,2019
04/7892,h/BillHowe,2018
04/7892,h/BillHowe,2018
62/1373,l/ALabrinidis,2019
62/1373,l/ALabrinidis,2019
62/1373,l/ALabrinidis,2016
62/1373,l/ALabrinidis,2015
62/1373,l/ALabrinidis,2015
62/1373,l/ALabrinidis,2014
04/1835,09/3012,2021
04/1835,29/11192,2021
04/1835,29/11192,2021
04/1835,29/11192,2021
04/1835,29/11192,2021
04/1835,29/11192,2020
04/1835,29/11192,2020
04/1835,29/11192,2020
04/1835,29/11192,2020
04/1835,29/11192,2020
04/1835,29/11192,2019
04/1835,29/11192,2019
04/1835,29/11192,2018
l/ALabrinidis,62/1373,2019
l/ALabrinidis,62/1373,2019
l/ALabrinidis,92/2820,2016
l/ALabrinidis,62/1373,2016
l/ALabrinidis,62/1373,2015
l/ALabrinidis,62/1373,2015
l/ALabrinidis,62/1373,2014
l/ALabrinidis,h/BillHowe,2013
l/ALabrinidis,d/AmolDeshpande,2007
92/2820,l/ALabrinidis,2016
k/AlfonsKemper,167/6469,2021
k/AlfonsKemper,167/6469,2021
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2020
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2019
k/AlfonsKemper,167/6469,2018
k/AlfonsKemper,58/4127,2018
k/AlfonsKemper,167/6469,2018
k/AlfonsKemper,167/6469,2018
k/AlfonsKemper,167/6469,2018
k/AlfonsKemper,167/6469,2018
k/AlfonsKemper,58/4127,2017
k/AlfonsKemper,167/6469,2017
k/AlfonsKemper,167/6469,2017
k/AlfonsKemper,167/6469,2016
k/AlfonsKemper,167/6469,2015
d/AlinDeutsch,c/CarloCurino,2013
d/AlinDeutsch,l/ChenLi1,2011
d/AlinDeutsch,c/CarloCurino,2010
d/AlinDeutsch,c/CarloCurino,2008
d/AlinDeutsch,l/BertramLudascher,2007
d/AlinDeutsch,l/BertramLudascher,2005
d/AlinDeutsch,h/AlonYHalevy,1999
d/AlinDeutsch,h/AlonYHalevy,1999
d/AlinDeutsch,h/AlonYHalevy,1998
d/AlinDeutsch,h/AlonYHalevy,1998
164/1401,74/3195,2020
164/1401,74/3195,2020
p/NeoklisPolyzotis,97/919-1,2019
p/NeoklisPolyzotis,h/AlonYHalevy,2016
p/NeoklisPolyzotis,h/AlonYHalevy,2016
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2015
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2013
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2011
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2011
p/NeoklisPolyzotis,a/AnastassiaAilamaki,2010
p/NeoklisPolyzotis,c/CheeYongChan,2009
p/NeoklisPolyzotis,c/CheeYongChan,2009
p/NeoklisPolyzotis,s/ASimitsis,2008
p/NeoklisPolyzotis,s/ASimitsis,2007
s/ASimitsis,d/ADeligiannakis,2021
s/ASimitsis,d/ADeligiannakis,2020
s/ASimitsis,p/NeoklisPolyzotis,2008
s/ASimitsis,p/NeoklisPolyzotis,2007
h/AlonYHalevy,a/AnastassiaAilamaki,2019
h/AlonYHalevy,16/4915,2019
h/AlonYHalevy,d/AnHaiDoan,2019
h/AlonYHalevy,m/CMohan,2019
h/AlonYHalevy,o/BengChinOoi,2019
h/AlonYHalevy,58/4127,2019
h/AlonYHalevy,d/AnHaiDoan,2018
h/AlonYHalevy,a/AnastassiaAilamaki,2016
h/AlonYHalevy,d/AnHaiDoan,2016
h/AlonYHalevy,o/BengChinOoi,2016
h/AlonYHalevy,p/NeoklisPolyzotis,2016
h/AlonYHalevy,p/NeoklisPolyzotis,2016
h/AlonYHalevy,a/AnastassiaAilamaki,2014
h/AlonYHalevy,d/AnHaiDoan,2014
h/AlonYHalevy,o/BengChinOoi,2014
h/AlonYHalevy,d/AnHaiDoan,2012
h/AlonYHalevy,d/AnHaiDoan,2011
